query,dietary_restriction,response,success,error,trace_id,query_id,label,reasoning,confidence,labeled
Gluten-light recipe - I'm not celiac just sensitive,gluten-free,"Certainly! Here's a delicious Gluten-Light Chicken and Vegetable Stir-Fry that is flavorful, light, and perfect for a sensitive stomach.

**Gluten-Light Chicken and Vegetable Stir-Fry (Serves 2)**

**Ingredients:**
- 2 boneless, skinless chicken breasts, sliced into thin strips
- 2 tablespoons olive oil or avocado oil
- 1 red bell pepper, sliced
- 1 yellow bell pepper, sliced
- 1 cup broccoli florets
- 1 carrot, julienned
- 2 cloves garlic, minced
- 1 tablespoon fresh ginger, grated
- 2 tablespoons Tamari (gluten-light soy sauce, check for gluten-free)
- 1 teaspoon honey or maple syrup
- 1 teaspoon rice vinegar
- 1 teaspoon sesame oil (optional, for flavor)
- Salt and pepper to taste
- Sesame seeds and sliced green onions for garnish (optional)

**Preparation Steps:**

1. **Prep the Ingredients:**  
Slice the chicken into thin strips, and prepare the vegetables by slicing the bell peppers, cutting the broccoli into small florets, julienning the carrot, mincing the garlic, and grating the ginger.

2. **Cook the Chicken:**  
Heat 1 tablespoon of olive oil in a large skillet or wok over medium-high heat. Add the sliced chicken, season with a pinch of salt and pepper. Stir-fry for 5-6 minutes, or until the chicken is cooked through and lightly browned. Remove the chicken from the skillet and set aside.

3. **Cook the Vegetables:**  
In the same skillet, add the remaining 1 tablespoon of oil. Toss in the garlic and ginger, sauté for about 30 seconds until fragrant. Add the broccoli, bell peppers, and carrots. Stir-fry for 4-5 minutes, until the vegetables are tender but still crisp.

4. **Combine and Sauce:**  
Return the cooked chicken to the skillet with the vegetables. In a small bowl, mix the Tamari, honey, rice vinegar, and sesame oil. Pour this sauce over the chicken and vegetables. Toss everything together and cook for another 2-3 minutes, allowing the flavors to meld.

5. **Serve:**  
Divide the stir-fry between two plates. Garnish with a sprinkle of sesame seeds and sliced green onions if desired. Serve hot, perhaps with a side of steamed rice or cauliflower rice for a complete meal.

Enjoy your light, flavorful, gluten-light stir-fry—a perfect balance of protein and vegetables with a savory Asian-inspired flavor!",True,,48_30,48,FAIL,"The recipe is labeled as 'gluten-light,' which suggests it may not be fully gluten-free. The use of Tamari is noted as 'gluten-light soy sauce,' and while Tamari can be gluten-free, it is crucial to ensure that the specific product used is certified gluten-free. The recipe advises checking for gluten-free Tamari, which is appropriate for a gluten-sensitive individual but not strictly gluten-free without verification. Additionally, the recipe suggests serving with steamed rice, which is gluten-free, or cauliflower rice, which is also gluten-free. However, the recipe does not explicitly ensure that all ingredients are certified gluten-free, which is necessary for a strict gluten-free diet. Therefore, while the recipe may be suitable for someone who is gluten-sensitive, it does not strictly adhere to a gluten-free dietary restriction without further verification of the Tamari.",MEDIUM,True
Vegan protein smoothie that doesn't taste chalky,vegan,"Certainly! Here's a delicious and creamy Vegan Banana Almond Protein Smoothie that's rich in flavor and free from that chalky texture.

**Vegan Banana Almond Protein Smoothie (Serves 2)**

**Ingredients:**
- 2 ripe bananas
- 2 tablespoons almond butter (or any nut butter)
- 1 scoop vegan vanilla protein powder (look for smooth, non-chalky options like pea or rice protein)
- 1 cup almond milk (or any plant-based milk)
- 1/2 teaspoon vanilla extract
- 1 tablespoon chia seeds or hemp seeds (for added nutrients)
- 1 teaspoon maple syrup or agave nectar (optional, for extra sweetness)
- A handful of ice cubes

**Instructions:**
1. **Prepare the Ingredients:** Peel the bananas and measure out the almond butter, protein powder, and other ingredients.
2. **Combine in Blender:** In a high-speed blender, add the bananas, almond butter, vegan protein powder, almond milk, vanilla extract, chia or hemp seeds, and maple syrup if using.
3. **Blend Until Smooth:** Blend on high for about 30-45 seconds until the mixture is creamy and velvety. If the smoothie is too thick, add a splash more almond milk and blend again until smooth.
4. **Add Ice & Blend:** Toss in the ice cubes and blend for another 15 seconds until chilled and frothy.
5. **Taste & Adjust:** Taste the smoothie. If you'd like it sweeter, add a little more maple syrup and blend briefly.
6. **Serve Immediately:** Pour into two glasses, garnish with a slice of banana or a sprinkle of extra seeds if desired, and enjoy!

This smoothie is perfectly creamy and flavorful, with the natural sweetness of bananas and almond butter masking any grittiness from the protein powder. It’s a nutritious start to your day or a replenishing post-workout treat!",True,,19_36,19,PASS,"The recipe for the Vegan Banana Almond Protein Smoothie adheres to the vegan dietary restriction. All ingredients listed are plant-based: ripe bananas, almond butter, vegan vanilla protein powder, almond milk, vanilla extract, chia seeds or hemp seeds, maple syrup or agave nectar, and ice cubes. There are no animal products such as meat, dairy, eggs, or honey included in the recipe. The preparation method involves blending these ingredients, which does not introduce any non-vegan elements.",HIGH,True
Low-carb pizza recipe - I miss pizza so much,low-carb,"Absolutely! Here's a delicious low-carb cauliflower crust pizza recipe perfect for satisfying your pizza cravings. This recipe serves 2 people.

### Cauliflower Crust Pizza (Low-Carb)

#### Ingredients:
- 1 medium cauliflower head (about 4 cups of florets)
- 1 large egg
- 1/2 cup shredded mozzarella cheese
- 1/4 cup grated Parmesan cheese
- 1 teaspoon dried oregano
- 1 teaspoon garlic powder
- Salt and pepper to taste
- 1/2 cup pizza sauce (preferably low-carb)
- 1/2 cup shredded mozzarella cheese (for topping)
- Toppings of your choice: pepperoni slices, sliced bell peppers, mushrooms, olives, fresh basil

---

#### Instructions:

1. **Preheat the oven:** to 400°F (200°C). Line a baking sheet or a pizza stone with parchment paper.

2. **Prepare the cauliflower:** 
   - Remove the leaves and stem, then chop the cauliflower into chunks.
   - Use a food processor to pulse the cauliflower until it resembles rice or small grains. If you don’t have a food processor, you can grate the cauliflower with a box grater.
   
3. **Cook the cauliflower:**
   - Place the riced cauliflower in a microwave-safe bowl.
   - Microwave on high for about 4-5 minutes until soft.
   - Allow it to cool slightly, then place it in a clean kitchen towel or cheesecloth and squeeze out excess moisture. The drier, the better for your crust!

4. **Make the dough:**
   - In a large mixing bowl, combine the drained cauliflower, egg, mozzarella, Parmesan, oregano, garlic powder, salt, and pepper.
   - Mix thoroughly until a dough forms.

5. **Form the crust:**
   - Transfer the dough onto your prepared baking sheet.
   - Using your hands or a spatula, press the dough into a round, even layer about 1/4 inch thick, shaping a crust approximately 10 inches in diameter.

6. **Bake the crust:**
   - Place it in the oven and bake for 20-25 minutes until golden and crisp around the edges.

7. **Add toppings:**
   - Remove the crust from the oven.
   - Spread the pizza sauce evenly over the crust.
   - Sprinkle the remaining mozzarella cheese on top.
   - Add your favorite toppings.

8. **Finish baking:**
   - Return to the oven and bake for an additional 10 minutes, or until the cheese is bubbly and golden.

9. **Serve:**
   - Let the pizza cool for a few minutes, then slice and serve warm. Garnish with fresh basil if desired!

Enjoy your delicious low-carb cauliflower pizza that hits those pizza cravings without the carbs!",True,,20_30,20,PASS,"The recipe for cauliflower crust pizza adheres to the low-carb dietary restriction. The primary ingredient for the crust is cauliflower, which is low in carbohydrates. The use of mozzarella and Parmesan cheese is appropriate as they are low in carbs. The recipe suggests using a low-carb pizza sauce, which is crucial to maintaining the low-carb nature of the dish. The toppings listed, such as pepperoni, bell peppers, mushrooms, olives, and fresh basil, are all low in carbohydrates. The preparation method does not introduce any high-carb elements. Overall, the recipe is well-suited for a low-carb diet.",HIGH,True
Comfort food that won't make me feel guilty,vegetarian,"Certainly! I recommend preparing a **Grilled Chicken and Vegetable Quinoa Bowl**, a nutritious and comforting dish that's light yet satisfying. It’s perfect for two servings and packed with lean protein, fiber, and vibrant flavors. Here's how to make it:

### Ingredients:
- 1 cup quinoa
- 2 chicken breasts (about 6 oz each)
- 1 red bell pepper
- 1 zucchini
- 1 yellow squash
- 2 tablespoons olive oil
- 1 teaspoon paprika
- 1 teaspoon garlic powder
- Salt and pepper to taste
- Juice of 1 lemon
- Fresh parsley (for garnish, optional)

### Instructions:

1. **Prepare the Quinoa:**
   - Rinse the quinoa thoroughly under cold water using a fine mesh strainer.
   - In a medium pot, bring 2 cups of water to a boil.
   - Add the rinsed quinoa, reduce heat to low, cover, and simmer for about 15 minutes or until the water is absorbed.
   - Remove from heat and let it sit, covered, for 5 minutes. Fluff with a fork and set aside.

2. **Season and Grill the Chicken:**
   - While the quinoa cooks, pat the chicken breasts dry.
   - In a small bowl, mix 1 teaspoon of paprika, garlic powder, salt, and pepper.
   - Rub the spice mixture evenly over the chicken breasts.
   - Heat a grill pan or outdoor grill over medium-high heat.
   - Grill the chicken for about 6-7 minutes per side, or until fully cooked and juices run clear.
   - Remove from grill, let rest for 5 minutes, then slice thinly.

3. **Prepare the Vegetables:**
   - While the chicken is grilling, wash and cut the bell pepper, zucchini, and yellow squash into bite-sized strips.
   - Toss the vegetables with 1 tablespoon of olive oil, a pinch of salt and pepper.
   - Grill the vegetables alongside the chicken or in a separate grill pan for about 5-7 minutes until tender and slightly charred.

4. **Assemble the Bowls:**
   - Divide the cooked quinoa into two bowls.
   - Top each with sliced grilled chicken and grilled vegetables.
   - Squeeze fresh lemon juice over the bowls for brightness.
   - Garnish with chopped parsley if desired.

### Serving Size:
- Serves 2 people, with each bowl providing a hearty, guilt-free comfort meal.

Enjoy this wholesome dish with bright flavors and nourishing ingredients!",True,,43_14,43,FAIL,"The recipe response includes grilled chicken breasts as a primary ingredient, which directly violates the vegetarian dietary restriction. Vegetarian diets exclude all forms of meat, including chicken. While the rest of the ingredients such as quinoa, vegetables, and seasonings are suitable for a vegetarian diet, the inclusion of chicken makes the entire recipe non-compliant with the specified dietary restriction.",HIGH,True
Dairy-free but cheese is okay sometimes,dairy-free,"Great! Here's a delicious dairy-free Chickpea Salad Sandwich — perfect for a quick lunch or light dinner, serving 2 people.

### Dairy-Free Chickpea Salad Sandwich

**Ingredients:**
- 1 can (15 oz) chickpeas, drained and rinsed
- 2 tablespoons vegan mayonnaise (or adjust to taste)
- 1 teaspoon Dijon mustard
- 1 teaspoon lemon juice
- 1/2 teaspoon smoked paprika
- Salt and pepper, to taste
- 1/4 cup finely chopped red onion
- 1/4 cup chopped celery
- 2 slices of whole-grain bread (or your preferred bread)
- Optional: fresh lettuce or spinach leaves
- Optional: sliced pickles or tomato for added flavor

**Steps:**

1. **Prepare the Chickpeas:**  
   In a medium bowl, use a fork or potato masher to mash the chickpeas until mostly chunky but with some small pieces remaining for texture.

2. **Mix the Sauce:**  
   In a small bowl, combine the vegan mayonnaise, Dijon mustard, lemon juice, smoked paprika, and a pinch of salt and pepper. Stir until smooth.

3. **Combine the Salad:**  
   Add the sauce to the mashed chickpeas. Mix well to coat evenly.

4. **Add Vegetables:**  
   Incorporate the chopped red onion and celery into the chickpea mixture. Stir everything together and taste; add more salt, pepper, or lemon juice if needed.

5. **Assemble the Sandwich:**  
   Spread the chickpea salad generously onto one slice of bread. If using, layer fresh lettuce or spinach on top. Cover with the second slice of bread.

6. **Serve:**  
   Cut the sandwich in half diagonally, serve immediately, and enjoy a tasty, filling, dairy-free meal!

Would you like me to suggest a side dish or another recipe?",True,,47_30,47,PASS,"The recipe for the Dairy-Free Chickpea Salad Sandwich adheres to the dairy-free dietary restriction. All ingredients listed, including vegan mayonnaise, chickpeas, Dijon mustard, lemon juice, smoked paprika, red onion, celery, and whole-grain bread, are free from dairy products. The recipe explicitly uses vegan mayonnaise, which is a dairy-free alternative to traditional mayonnaise. There is no mention of cheese or any other dairy product in the ingredients or preparation steps. Therefore, the recipe is suitable for someone following a dairy-free diet.",HIGH,True
Gluten-light recipe - I'm not celiac just sensitive,gluten-free,"Absolutely! Here's a delicious and easy Gluten-Light **Lemon Herb Quinoa Salad** perfect for two people.

### Ingredients:
- 1 cup quinoa
- 2 cups water
- 1 medium cucumber, diced
- 1/4 cup fresh parsley, chopped
- 1/4 cup fresh mint, chopped
- 1 lemon (for juice and zest)
- 2 tablespoons olive oil
- Salt and pepper to taste
- Optional: 1/4 cup crumbled feta cheese or chopped cherry tomatoes

### Instructions:

1. **Rinse the Quinoa:** Place the quinoa in a fine mesh strainer and rinse thoroughly under cold water to remove any bitterness.

2. **Cook the Quinoa:** In a medium pot, combine the rinsed quinoa and water. Bring it to a boil over medium-high heat. Once boiling, reduce the heat to low, cover with a lid, and simmer for 15 minutes, or until the water is absorbed and the quinoa is fluffy.

3. **Let it Cool:** Remove the pot from heat. Fluff the quinoa with a fork. Let it cool to room temperature; you can spread it out on a baking sheet to speed this up.

4. **Prepare the Dressing:** While the quinoa cools, in a small bowl, squeeze the juice of one lemon, add the lemon zest, olive oil, salt, and pepper. Whisk together until well combined.

5. **Assemble the Salad:** In a large bowl, combine the cooled quinoa, diced cucumber, chopped herbs, and any optional ingredients like feta or cherry tomatoes.

6. **Dress and Toss:** Pour the lemon dressing over the salad and gently toss to combine all flavors. Adjust salt and pepper to taste.

7. **Serve:** Divide the salad onto two plates and enjoy immediately or refrigerate for 30 minutes to allow flavors to meld.

**Serving Size:** 2 servings

This refreshing quinoa salad is light, nutritious, and naturally gluten-light. Perfect as a main or side dish!",True,,48_3,48,FAIL,"The recipe is labeled as 'Gluten-Light' and not explicitly 'Gluten-Free'. Quinoa is naturally gluten-free, making it suitable for a gluten-free diet. However, the recipe includes an optional ingredient, feta cheese, which is gluten-free but could be a concern if cross-contaminated during processing. The recipe does not include any gluten-containing grains like wheat, barley, or rye. The preparation methods do not introduce gluten. However, since the query specifies a gluten-free dietary restriction, the use of 'gluten-light' terminology and optional ingredients that could potentially be cross-contaminated might not fully adhere to strict gluten-free standards. Therefore, while the recipe is likely safe for someone who is gluten-sensitive, it does not strictly adhere to a gluten-free diet due to the potential for cross-contamination and the 'gluten-light' designation.",MEDIUM,True
I need a vegan recipe for Thanksgiving dinner that will satisfy my very traditional meat-and-potatoes family who think vegetables are what food eats. They're coming to my house this year and I can't serve turkey but I also can't have them leaving hungry and complaining about rabbit food,vegan,"Absolutely! I recommend preparing a hearty Vegan Mushroom Wellington. It’s a show-stopping centerpiece packed with rich flavors that even the most skeptical meat-eaters will appreciate. The flaky puff pastry encloses a savory mushroom and spinach filling, reminiscent of a traditional meat pie but completely plant-based. It's satisfying, festive, and perfect for a Thanksgiving dinner.

**Vegan Mushroom Wellington for 2 People**

---

**Ingredients:**
- 2 sheets of vegan puff pastry (thawed if frozen)
- 2 tablespoons olive oil
- 3 cups mixed mushrooms (such as cremini, shiitake, and portobello), sliced
- 1 small onion, finely chopped
- 3 cloves garlic, minced
- 2 cups fresh spinach, chopped
- 1 teaspoon fresh thyme (or ½ teaspoon dried thyme)
- Salt and black pepper to taste
- 1 tablespoon soy sauce or tamari (for umami)
- 1 tablespoon nutritional yeast (optional for a cheesy flavor)
- 1-2 tablespoons plant-based milk (for brushing)
- Flour for surface

---

**Steps:**

1. **Preheat your oven to 400°F (200°C).** Line a baking sheet with parchment paper.

2. **Prepare the mushroom filling:**
   - Heat 1 tablespoon of olive oil in a large skillet over medium heat.
   - Add the chopped onion and cook for 3-4 minutes until translucent.
   - Stir in the garlic and cook for another 30 seconds until fragrant.
   - Add the sliced mushrooms, thyme, salt, and pepper. Cook, stirring occasionally, until the mushrooms release their moisture and it evaporates, about 8-10 minutes.
   - Stir in soy sauce or tamari, nutritional yeast, and chopped spinach. Cook until spinach wilts and excess moisture evaporates. Remove from heat and let cool slightly.

3. **Assemble the Wellington:**
   - Lightly flour a clean surface. Roll out one sheet of puff pastry into a rectangle big enough to enclose the mushroom mixture.
   - Spoon the cooled mushroom mixture onto the center of the pastry, shaping it into a log that's about 1.5 inches in diameter, leaving about 1 inch border.
   - Fold the sides over to enclose the filling, pinching the edges to seal. You can also roll it over tightly or fold the edges underneath.
   - Place the wrapped Wellington seam-side down on the prepared baking sheet.
   - Repeat with the second sheet.

4. **Finish and bake:**
   - Brush the tops of the Wellington with plant-based milk for a golden finish.
   - Cut a few small slits on top of each to release steam.
   - Bake in the preheated oven for 25-30 minutes until the pastry is golden brown and puffed.

5. **Serve:**
   - Slice each Wellington into thick pieces and serve hot.
   - Pair with a simple gravy or cranberry sauce for added holiday flair!

---

This Mushroom Wellington is hearty enough to satisfy appetites and elevates vegetables into a gloriously savory main course, perfect for your Thanksgiving gathering. Enjoy!",True,,31_31,31,PASS,"The recipe for Vegan Mushroom Wellington adheres to the vegan dietary restriction. All ingredients listed are plant-based, including vegan puff pastry, olive oil, mushrooms, onion, garlic, spinach, thyme, soy sauce or tamari, nutritional yeast, and plant-based milk. The preparation method does not involve any animal products, and the use of plant-based milk for brushing the pastry ensures that no dairy is used. The recipe is designed to be a hearty and satisfying dish, suitable for a Thanksgiving dinner, and does not include any non-vegan ingredients or cooking methods.",HIGH,True
Comfort food that won't make me feel guilty,vegetarian,"I recommend making **Lemon Herb Grilled Chicken with Roasted Vegetables**. It's a comforting, flavorful dish that feels indulgent but is light and healthy. This recipe serves 2.

**Ingredients:**
- 2 boneless, skinless chicken breasts
- 1 lemon (zested and juiced)
- 2 cloves garlic, minced
- 2 tablespoons olive oil
- 1 teaspoon dried thyme or rosemary
- Salt and freshly ground black pepper
- 1 cup cherry tomatoes
- 1 zucchini, sliced
- 1 bell pepper, sliced
- 1 teaspoon oregano
- Fresh parsley for garnish (optional)

**Steps:**

1. **Marinate the Chicken:**
   - In a small bowl, whisk together the lemon zest, lemon juice, minced garlic, olive oil, thyme/rosemary, salt, and pepper.
   - Place the chicken breasts in a zip-top bag or shallow dish. Pour the marinade over the chicken, ensuring it's well coated.
   - Seal or cover and refrigerate for at least 30 minutes, or up to 2 hours for more flavor.

2. **Prepare the Vegetables:**
   - Preheat your oven to 400°F (200°C).
   - In a mixing bowl, toss cherry tomatoes, zucchini, and bell pepper slices with a teaspoon of olive oil, oregano, salt, and pepper.
   - Spread the vegetables on a baking sheet lined with parchment paper.

3. **Cook the Chicken:**
   - Heat a grill or grill pan over medium-high heat.
   - Remove the chicken from the marinade, letting excess drip off.
   - Grill the chicken for 6-8 minutes per side, or until the internal temperature reaches 165°F (75°C) and the juices run clear.
   - Transfer to a plate and let rest for 5 minutes.

4. **Roast the Vegetables:**
   - While the chicken is grilling, roast the vegetables in the oven for about 15-20 minutes, or until tender and slightly caramelized.

5. **Serve:**
   - Slice the grilled chicken into strips.
   - Plate the chicken alongside the roasted vegetables.
   - Garnish with chopped fresh parsley if desired.
   
This meal is light, packed with fresh flavors, and satisfying without heaviness. Enjoy!",True,,43_9,43,FAIL,"The recipe response includes 'Lemon Herb Grilled Chicken with Roasted Vegetables,' which contains chicken breasts as a primary ingredient. The dietary restriction specified is vegetarian, which excludes all forms of meat, including chicken. Therefore, the inclusion of chicken in the recipe directly violates the vegetarian dietary restriction.",HIGH,True
I'm on a sugar-free diet but I want to make candy,sugar-free,"Certainly! How about trying a simple and delicious Sugar-Free Coconut Lemon Chews? They're naturally sweetened with a touch of honey or your preferred natural sweetener, and they have a refreshing citrus flavor. Here's how to make them for 2 servings:

**Ingredients:**
- 1 cup shredded unsweetened coconut
- 2 tablespoons lemon juice (freshly squeezed)
- 1 tablespoon honey or maple syrup (optional, for natural sweetness)
- Zest of 1 lemon
- 1 tablespoon coconut oil
- A pinch of salt
- Unsweetened shredded coconut (for coating)

**Instructions:**

1. **Prepare the Mixture:**  
   In a mixing bowl, combine the shredded coconut, lemon zest, and a pinch of salt. Add the coconut oil and stir until the mixture becomes slightly clumpy.

2. **Add Citrus and Sweetener:**  
   Pour in the lemon juice and honey (or maple syrup if using). Mix thoroughly until the mixture is sticky and well combined. If it feels too dry, add a tiny bit more lemon juice or honey; if too wet, add a little more shredded coconut.

3. **Form the Chews:**  
   Using clean hands, shape the mixture into small, bite-sized rectangles or balls. You can also use a silicone mold for more uniform shapes.

4. **Coat with Shredded Coconut:**  
   Roll each piece in the extra shredded coconut to give a nice coating and enhance the texture.

5. **Chill:**  
   Place the chews on a plate or tray lined with parchment paper, then refrigerate for about 30 minutes to firm up.

6. **Serve:**  
   Enjoy your fresh, sugar-free coconut lemon chews as a delightful treat!

**Note:** These candies are best kept refrigerated and enjoyed within 3-4 days. Perfect for a sweet craving without added sugars!

Would you like to explore a different flavor or ingredient?",True,,26_30,26,FAIL,"The recipe response suggests using honey or maple syrup as a sweetener, both of which are sources of added sugars. A sugar-free diet requires avoiding added sugars, and while the recipe offers the option to use a 'preferred natural sweetener,' the inclusion of honey or maple syrup as an option violates the sugar-free dietary restriction. The recipe does not explicitly suggest a sugar-free alternative sweetener like stevia or erythritol, which would be more appropriate for a sugar-free diet.",HIGH,True
I'm pescatarian but shellfish makes me sick,pescatarian,"Great! I recommend trying a delicious **Lemon Herb Baked Salmon**. It's healthy, easy to prepare, and perfect for two people.

---

### Lemon Herb Baked Salmon

**Ingredients:**
- 2 salmon fillets (about 6 oz each)
- 1 lemon (for juice and slices)
- 2 tablespoons olive oil
- 2 cloves garlic, minced
- 1 teaspoon dried thyme (or fresh, if available)
- 1 teaspoon dried parsley (or fresh)
- Salt and black pepper to taste
- Fresh dill or parsley for garnish (optional)

---

### Instructions:

1. **Preheat the Oven:**
   - Set your oven to 400°F (200°C). Line a baking sheet with parchment paper or lightly grease it.

2. **Prepare the Salmon:**
   - Place the salmon fillets skin-side down on the prepared baking sheet.
   - Pat them dry with paper towels to ensure even seasoning.

3. **Make the Herb Mixture:**
   - In a small bowl, combine the olive oil, minced garlic, dried thyme, dried parsley, salt, and black pepper.
   - Squeeze half of the lemon over the salmon fillets, then brush or rub the herb mixture evenly over the top of each fillet.

4. **Add Lemon Slices:**
   - Slice the lemon into thin rounds.
   - Place a couple of lemon slices on top of each salmon fillet for extra flavor.

5. **Bake:**
   - Place the baking sheet in the preheated oven.
   - Bake for about 12-15 minutes, or until the salmon flakes easily with a fork. The exact time depends on the thickness of the fillets.

6. **Serve:**
   - Plate the salmon, spoon some of the juices from the baking sheet over the top, and garnish with fresh dill or parsley if desired.
   - Serve with a side of steamed vegetables, rice, or a light salad.

---

Enjoy your flavorful Lemon Herb Baked Salmon! It’s simple, nutritious, and perfect for a quick yet impressive meal.",True,,55_32,55,PASS,"The recipe for Lemon Herb Baked Salmon adheres to the pescatarian dietary restriction, which allows for fish and seafood but excludes other meats. The recipe uses salmon, which is a type of fish, and does not include any shellfish, which the user is specifically avoiding due to an allergy. All other ingredients, such as lemon, olive oil, garlic, and herbs, are plant-based and do not conflict with the pescatarian diet. The preparation method of baking is also suitable and does not introduce any non-compliant elements.",HIGH,True
